"Category Name","Category Status","Feature Name","Feature Status",Notes,"Feature ID",Importance,"Times per Year","Cost per time","Hours per time","Feature EOI"
"Contact Database",Notrequired,"Contact Database can include both member and non-member details",No,,1,"Nice to have",,,,
"Contact Database",Notrequired,"The data that needs to be stored for each contact can be configured",No,,2,"Nice to have",,,,
"Contact Database",Notrequired,"The Contact Database provides multiple levels of hierarchy e.g. Organisation, Division, Contact",No,,3,"Nice to have",,,,
"Contact Database",Notrequired,"The Contact Database can be searched, filtered and segmented in a number of different ways",No,,9,"Nice to have",,,,
"Contact Database",Notrequired,"Via the Contact Database a person\'s complete relationship with the organisation can be viewed e.g. membership(s), event registrations, online store purchases, email communications",No,,10,"Nice to have",,,,
"Contact Database",Notrequired,"Subsets of the Contact Database can be exported for use externally",No,,75,"Nice to have",,,,
"Membership management",Notrequired,"Membership pricing can be configured including early bird discounts, joining fee, late fee",No,,4,"Nice to have",,,,
"Membership management",Notrequired,"Pro-rata membership pricing is available for a number of time periods, e.g. daily, quarterly",No,,11,"Nice to have",,,,
"Membership management",Notrequired,"Memberships can be administered and reported by subsets (e.g. by division or state)",No,,12,"Nice to have",,,,
"Membership management",Notrequired,"Membership bestows post-nominals on member",No,,77,"Nice to have",,,,
"Membership management",Notrequired,"Memberships can be processed through a number of different statuses reflecting the organisation\'s administration processes",No,,13,"Nice to have",,,,
"Membership management",Notrequired,"A range of membership related reports are available",No,,76,"Nice to have",,,,
"Membership Application",Notrequired,"Members can elect to include optional extras to their application e.g. sign up for Special Interest Groups",No,,79,"Nice to have",,,,
"Membership Application",Notrequired,"Individuals can apply for membership",No,,5,"Nice to have",,,,
"Membership Application",Notrequired,"Where appropriate fees can be paid via the website",No,,14,"Nice to have",,,,
"Membership Application",Notrequired,"Corporations can apply for membership and nominate employees to receive membership benefits",No,,15,"Nice to have",,,,
"Membership Application",Notrequired,"A range of membership types are supported",No,,16,"Nice to have",,,,
"Membership Application",Notrequired,"Automated communications to applicant through application workflow are supported -e.g. application acknowledge, application approval",No,,78,"Nice to have",,,,
"Membership Application",Notrequired,"Different memberships require different application forms",No,,80,"Nice to have",,,,
"Membership renewal",Notrequired,"Automated communications to member through renewal workflow are supported -e.g. renewal reminder, renewal acknowledgement",No,,6,"Nice to have",,,,
"Membership renewal",Notrequired,"Payments for renewals collected online, and invoices generated",No,,17,"Nice to have",,,,
"Membership renewal",Notrequired,"Early Bird renewal pricing is available",No,,81,"Nice to have",,,,
"Membership renewal",Notrequired,"Early Bird renewal pricing is available",No,,18,"Nice to have",,,,
"Membership renewal",Notrequired,"Members can upgrade/downgrade their membership level",No,,82,"Nice to have",,,,
"Membership renewal",Notrequired,"Renewals are open for a defined period of time",No,,83,"Nice to have",,,,
"Member Services/benefits",Notrequired,"Members can update there own details at any time",No,,7,"Nice to have",,,,
"Member Services/benefits",Notrequired,"The details that members can update can be configured to be a subset of total contact database information",No,,19,"Nice to have",,,,
"Member Services/benefits",Notrequired,"Non-members (contacts or lapsed members) can also update details",No,,85,"Nice to have",,,,
"Member Services/benefits",Notrequired,"Different levels of memberships can have access to different information/services",No,,20,"Nice to have",,,,
"Member Services/benefits",Notrequired,"Website provides access based on interest or settings input by members",No,,84,"Nice to have",,,,
"Marketing Communications",Notrequired,"Different subsets of members can be targeted based on membership type",No,,8,"Nice to have",,,,
"Marketing Communications",Notrequired,"Both members can non-members can be targeted",No,,86,"Nice to have",,,,
"Marketing Communications",Notrequired,"Subsets of database can be chosen based on a range of profile information and/or custom segments",No,,87,"Nice to have",,,,
"Marketing Communications",Notrequired,"Different communications require differently styled email templates",No,,88,"Nice to have",,,,
"Marketing Communications",Notrequired,"Statistics are available to allow analysis of success of communication",No,,89,"Nice to have",,,,
"Marketing Communications",Notrequired,"Newsletters (as well as notifications to individuals) can be sent from the system",No,,90,"Nice to have",,,,
"Member Directory",Notrequired,"Members receive directory listings as part of their membership benefits",No,,22,"Nice to have",,,,
"Member Directory",Notrequired,"Members need to pay an additional fee for a listing in the directory",No,,91,"Nice to have",,,,
"Member Directory",Notrequired,"Non-members can pay for listing in the directory",No,,92,"Nice to have",,,,
"Member Directory",Notrequired,"Member directory is accessible to the general public",No,,93,"Nice to have",,,,
"Member Directory",Notrequired,"Details to be included in the directory can be configured",No,,94,"Nice to have",,,,
"Member Directory",Notrequired,"Directory can include a Google Map",No,,95,"Nice to have",,,,
"Member Directory",Notrequired,"Members can manage the details displayed in their directory listing",No,,96,"Nice to have",,,,
"Member Directory",Notrequired,"The member directory can be filtered by a range of custom options",No,,97,"Nice to have",,,,
"Events Registration",Notrequired,"Events can be quicklyand easily published onto the website",No,,23,"Nice to have",,,,
"Events Registration",Notrequired,"Events can be browsed via any number of categories and subcategories e.g. by location, by type of event",No,,98,"Nice to have",,,,
"Events Registration",Notrequired,"Members receive different event pricing to non-members",No,,99,"Nice to have",,,,
"Events Registration",Notrequired,"Events can have early bird pricing",No,,100,"Nice to have",,,,
"Events Registration",Notrequired,"Events can have table pricing as well as individual pricing",No,,101,"Nice to have",,,,
"Events Registration",Notrequired,"Events can have discounted pricing for different size groups",No,,102,"Nice to have",,,,
"Events Registration",Notrequired,"Registrants can purchase tickets to all events in a suite of events or purchse in groups",No,,103,"Nice to have",,,,
"Events Registration",Notrequired,"Registration form required can vary from event to event",No,,104,"Nice to have",,,,
"Event Administration",Notrequired,"The details to be captured for an event can be configured and presented to the end user in a consistent layout",No,,24,"Nice to have",,,,
"Event Administration",Notrequired,"Certain types of events can only be attended by members or by certain types of members",No,,105,"Nice to have",,,,
"Event Administration",Notrequired,"Seating allocation can be done automatically but with manual override as required",No,,106,"Nice to have",,,,
"Event Administration",Notrequired,"Seating plans can be printed",No,,107,"Nice to have",,,,
"Event Administration",Notrequired,"Name tags can be automatically generated for event",No,,108,"Nice to have",,,,
"Event Administration",Notrequired,"Different name tag layouts can be defined",No,,109,"Nice to have",,,,
"Event Administration",Notrequired,"Reminder emails can be sent to registrants prior to event",No,,110,"Nice to have",,,,
"Event Administration",Notrequired,"Followup emails can be sent to both attendees and non-attendees after event",No,,111,"Nice to have",,,,
"Event Administration",Notrequired,"Person\'s attendance at an event can be recorded",No,,112,"Nice to have",,,,
"Order Management",Notrequired,"A range of online payment gateways are supported",No,,113,"Nice to have",,,,
"Order Management",Notrequired,"A range of payment methods can be offered",No,,114,"Nice to have",,,,
"Order Management",Notrequired,"Orders can be processed through a number of different statuses reflecting your processes",No,,115,"Nice to have",,,,
"Order Management",Notrequired,"Automated communications through order processing workflow are supported -e.g. payment received, payment reminder, etc",No,,116,"Nice to have",,,,
"Order Management",Notrequired,"A range of standard reporting options are available",No,,117,"Nice to have",,,,
"Order Management",Notrequired,"Integration with common accounting packages is available",No,,118,"Nice to have",,,,
"Continuing Professional Development",Notrequired,"Any number of different CPD goals can be defined to reflect different requirements for different types of members",No,,119,"Nice to have",,,,
"Continuing Professional Development",Notrequired,"Categories of activities and units awarded can be defined",No,,120,"Nice to have",,,,
"Continuing Professional Development",Notrequired,"Members can be prevented from renewing their membership if CPD goal(s) have not been met",No,,121,"Nice to have",,,,
"Continuing Professional Development",Notrequired,"Events in Event Management module can be configured to attract PD points",No,,122,"Nice to have",,,,
"Continuing Professional Development",Notrequired,"Where event attendance attracts PD points, points are awarded automatically when attendance is confirmed",No,,123,"Nice to have",,,,
"Continuing Professional Development",Notrequired,"Members can track and manage their own CPD record e.g. to add external activities that qualify for CPD recognition",No,,124,"Nice to have",,,,
"Continuing Professional Development",Notrequired,"The information that must be entered about each activity can be configured",No,,125,"Nice to have",,,,
"Website Content Management",Notrequired,"All site content can be managed by non-technical administrators",No,,126,"Nice to have",,,,
"Website Content Management",Notrequired,"Menu structures and Information Architectures (site maps) can managed",No,,127,"Nice to have",,,,
"Website Content Management",Notrequired,"Administrators can be limited in the sections of site content that can manage",No,,128,"Nice to have",,,,
"Website Content Management",Notrequired,"Version control and archiving of content is available",No,,129,"Nice to have",,,,
"Website Content Management",Notrequired,"Content approval workflow is supported",No,,130,"Nice to have",,,,
"Website Content Management",Notrequired,"Generated site content is search engine friendly",No,,131,"Nice to have",,,,
"Resource Library",Notrequired,"Resources within the resource library can be publicly available or restricted to members",No,,132,"Nice to have",,,,
"Resource Library",Notrequired,"Metadata to be assigned to resources can be configured",No,,133,"Nice to have",,,,
"Resource Library",Notrequired,"Resources can be assigned to any number of categories or subcategories",No,,134,"Nice to have",,,,
"Resource Library",Notrequired,"The resource library can be browsed by category or search/filtered by metadata",No,,135,"Nice to have",,,,
"Online Store",Notrequired,"Any number of categories/subcategories of products can be defined",No,,43,"Nice to have",,,,
"Online Store",Notrequired,"Discount codes and gift vouchers are supported",No,,136,"Nice to have",,,,
"Online Store",Notrequired,"Details presented about each product can be configured",No,,44,"Nice to have",,,,
"Online Store",Notrequired,"Different groups of users (e.g. members) can receive different store pricing to other groups (e.g.non-members)",No,,45,"Nice to have",,,,
"Online Store",Notrequired,"Different shipping methods and pricing can be configured",No,,137,"Nice to have",,,,
"Online Store",Notrequired,"Automated communications through order processing workflow are supported -e.g. order received, order shipped etc",No,,138,"Nice to have",,,,
"Online Store",Notrequired,"Differing tax requirements for international orders (e.g. no GST) needs to be accommodated",No,,139,"Nice to have",,,,
"Online Store",Notrequired,"Multi-currency pricing needs to be accommodated",No,,140,"Nice to have",,,,
"Online Store",Notrequired,"Upsell/cross-sell mechanisms need to be available",No,,141,"Nice to have",,,,
